ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2.x,LeafArea_cm2.y
CAV0380,13,WAY,Halenia,umbellata,T,C,2,1,2,7,NA,NA,NA,0.04,0.226,0.219,0.208,NA,1.674,1.674
BXZ2875,13,WAY,Halenia,umbellata,T,C,2,2,1,15,NA,NA,NA,0.028,0.177,0.19,0.189,NA,1.273,1.273
BZA2704,13,WAY,Halenia,umbellata,T,C,2,1,4,7,NA,NA,NA,0.048,0.204,0.204,0.229,NA,2.201,2.201
CAY6622,13,WAY,Halenia,umbellata,T,C,2,1,3,7,NA,NA,NA,0.053,0.2,0.199,0.24,NA,2.173,2.173
BYL4944,13,WAY,Gaultheria,glomerata,T,C,1,1,1,20.7,NA,NA,NA,0.102,0.465,0.452,0.4461,NA,2.975,2.975
CFJ2489,13,WAY,Rhynchospora,macrochaeta,T,C,5,2,2,48.2,51.1,NA,NA,0.07,0.13,0.141,0.181,NA,5.185,5.185
CAU3244,13,WAY,Halenia,umbellata,T,C,2,1,1,7,NA,NA,NA,0.049,0.186,0.19,0.197,NA,2.231,2.231
BYJ7104,13,WAY,Halenia,umbellata,T,C,2,4,2,15,NA,NA,NA,0.062,0.174,0.166,0.188,NA,2.879,2.879
BYK7047,13,WAY,Halenia,umbellata,T,C,2,4,3,15,NA,NA,NA,0.057,0.192,0.205,0.197,NA,2.533,2.533
BYN1146,13,WAY,Halenia,umbellata,T,C,2,4,4,15,NA,NA,NA,0.05,0.203,0.183,0.189,NA,2.445,2.445
CCT1928,13,WAY,Gaultheria,glomerata,T,C,1,1,5,20.7,NA,NA,NA,0.135,0.465,0.457,0.454,NA,3.752,3.752
CCX3225,13,WAY,Gaultheria,glomerata,T,C,1,1,4,20.7,NA,NA,NA,0.148,0.466,0.472,0.455,NA,4.063,4.063
CHA4858,13,WAY,Rhynchospora,macrochaeta,T,C,5,2,1,48.2,51.1,NA,NA,0.199,0.219,0.192,0.194,NA,10.956,10.956
CJS1572,13,WAY,Rhynchospora,macrochaeta,T,C,1,1,1,120,NA,NA,NA,0.284,0.22,0.199,0.196,"Leaves were from the flower stem. No basal leaves were available. Plant jheight may have been of the flower stem, not based off leaves.",14.831,14.831
CJG5975,13,WAY,Gaultheria,glomerata,T,C,5,2,1,7,NA,1,NA,0.017,0.314,0.356,0.344,NA,0.669,0.669
CJO4442,13,WAY,Gaultheria,glomerata,T,C,5,2,2,7,NA,1,NA,0.018,0.26,0.328,0.315,NA,0.649,0.649
CJK2263,13,WAY,Gaultheria,glomerata,T,C,5,2,3,7,NA,1,NA,0.023,0.349,0.384,0.394,NA,0.723,0.723
CJC2516,13,WAY,Gaultheria,glomerata,T,C,5,2,4,7,NA,1,NA,0.021,0.303,0.295,0.324,NA,0.627,0.627
CFV4255,13,WAY,Rhynchospora,macrochaeta,T,C,5,2,5,48.2,51.1,NA,NA,0.281,0.224,0.202,0.171,NA,14.754999999999999,14.754999999999999
CCE3930,13,WAY,Halenia,umbellata,T,C,4,1,5,4,NA,NA,NA,0.028,0.187,0.199,0.186,NA,0.8,0.8
