ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2,nLeafScan
AKR3541,12,QUE,Oritrophium,hieracioides,T,BB,2,1,NA,1,NA,1,NA,98,334,358,343,NA,2.14,1
BVN9793,12,QUE,Bromus,lanatus,T,BB,2,4,NA,1,NA,2,NA,0.05,177,166,0.18,NA,2.686,1
AKB2948,12,QUE,Oritrophium,hieracioides,T,BB,2,3,NA,2,NA,1,NA,95,334,318,327,NA,2.592,2
AKA9802,12,QUE,Oritrophium,hieracioides,T,BB,2,1,NA,2,NA,1,NA,227,408,374,387,NA,5.186,1
BVZ4102,12,QUE,Bromus,lanatus,T,BB,2,4,1,1,NA,1,NA,65,193,0.19,188,NA,3.491,1
AKD3292,12,QUE,Oritrophium,hieracioides,T,BB,2,4,NA,0.3,NA,1,NA,306,606,0.37,409,NA,5.97,1
BWX1198,12,QUE,Oritrophium,hieracioides,T,BB,2,5,NA,2,NA,1,NA,813,557,453,415,NA,14.126.999.999.999.900,2
BWV0127,12,QUE,Anatherostipa,hans-meyeri,T,BB,5,3,NA,6,NA,3,NA,28,247,265,204,NA,13.539.999.999.999.900,5
BDO3144,12,QUE,Paspalum,bonplandianum,T,BB,1,1,NA,7,NA,4,NA,48,108,94,0.09,NA,3.672,4
AWH8141,12,QUE,Oritrophium,hieracioides,T,BB,4,2,NA,2,NA,1,NA,88,345,391,373,NA,17.349.999.999.999.900,3
AXK3395,12,QUE,Anatherostipa,hans-meyeri,T,BB,2,2,NA,8,NA,5,NA,39,198,196,0.16,NA,1.726,6
BDD2811,12,QUE,Hypochaeris,taraxacoides,T,BB,4,3,NA,2,NA,2,NA,123,258,234,216,NA,2.335,5
BCZ3166,12,QUE,Paspalum,bonplandianum,T,BB,2,1,NA,0.47,NA,4,NA,112,0.1,96,117,NA,4.859.999.999.999.990,5
BVR3182,12,QUE,Bromus,lanatus,T,BB,2,3,NA,1.1,NA,1,NA,0.09,121,98,97,NA,3.402,1
CFC1000,14,TRE,Paspalum,bonplandianum,T,C,3,2,2,5.5,18.5,1,NA,37,95,NA,NA,NA,2.659,1
CXD1104,14,TRE,Halenia,umbellata,T,C,1,1,5,6,NA,1,NA,31,67,NA,NA,"plot ID: ""1 maybe 2""",1.141,1
CHT3424,14,TRE,Gaultheria,glomerata,T,C,3,2,1,7,NA,1,NA,114,513,496,526,NA,2.81,1
AYA3362,14,TRE,Vaccinium,floribundum,T,C,2,2,1,7,NA,5,NA,48,276,152,125,NA,1.687,5
APD0931,14,TRE,Gaultheria,glomerata,T,C,1,1,1,4.7,NA,1,NA,85,433,449,448,NA,2.041,1
COE6169,14,TRE,Paspalum,bonplandianum,T,C,4,1,2,11,NA,1,NA,58,105,0.09,104,NA,4.774,1
ANX6046,14,TRE,Rhynchospora,macrochaeta,T,C,1,1,3,40.6,46.1,2,NA,418,344,346,311,NA,12.469.999.999.999.900,2
CIB6662,14,TRE,Gaultheria,glomerata,T,C,3,2,3,7,NA,1,NA,136,524,535,526,NA,3.344,1
CFA7659,14,TRE,Paspalum,bonplandianum,T,C,1,1,1,5.7,8.6,1,NA,0.03,0.15,97,117,NA,1.925,1
CMX6007,14,TRE,Halenia,umbellata,T,C,2,2,5,7,NA,2,NA,32,252,248,251,NA,13.539.999.999.999.900,2
ANP7683,14,TRE,Paspalum,bonplandianum,T,C,3,2,3,5.5,18.5,1,NA,0.11,111,0.11,103,NA,7.71,1
BKW1860,14,TRE,Vaccinium,floribundum,T,C,4,1,4,20,NA,5,NA,47,346,366,354,NA,1.654,6
AYE2081,14,TRE,Vaccinium,floribundum,T,C,2,2,5,7,NA,6,NA,0.05,385,385,285,NA,1.743,6
CKA7021,14,TRE,Lachemilla,orbiculata,T,C,4,2,2,5,NA,3,NA,93,245,NA,NA,NA,2.681,3
AOX1105,14,TRE,Paspalum,bonplandianum,T,C,1,2,4,7.1,8.5,1,NA,41,0.13,NA,NA,NA,2.344,1
CMN6905,14,TRE,Gaultheria,glomerata,T,C,2,2,2,11,NA,1,NA,151,431,452,425,NA,4.162,1
APH0115,14,TRE,Halenia,umbellata,T,C,4,1,5,10,NA,1,NA,63,287,NA,NA,NA,1.955,1
CSF5865,14,TRE,Halenia,umbellata,T,C,3,1,1,4.5,NA,1,NA,27,269,295,291,NA,1.039,1
CKL1087,14,TRE,Vaccinium,floribundum,T,C,3,1,5,11,NA,5,NA,42,277,222,247,NA,1.744,6
CKH7214,14,TRE,Vaccinium,floribundum,T,C,3,1,3,11,NA,5,NA,65,344,386,369,NA,2.103,6
CKD0965,14,TRE,Vaccinium,floribundum,T,C,3,1,4,11,NA,5,NA,77,356,352,396,NA,24.210.000.000.000.000,6
CMI2912,14,TRE,Paspalum,bonplandianum,S,NA,NA,5,NA,NA,NA,11,NA,252,114,105,108,NA,21.727,11
BKP5877,14,TRE,Lachemilla,orbiculata,T,C,5,2,1,3.8,NA,6,NA,79,209,222,234,NA,48.999.999.999.999.900,6
CEF2052,14,TRE,Paspalum,bonplandianum,T,C,3,1,5,8,8,2,NA,64,117,116,122,NA,2.534,2
BKN0250,14,TRE,Vaccinium,floribundum,T,C,2,1,1,34,NA,5,NA,96,508,504,452,NA,2.217,5
CEG5424,14,TRE,Paspalum,bonplandianum,T,C,1,2,1,7.1,8.5,1,NA,44,109,114,0.11,NA,2.709,1
CIF6978,14,TRE,Gaultheria,glomerata,T,C,3,2,4,7,NA,1,NA,112,663,0.56,571,NA,2.969,1
CHX5000,14,TRE,Gaultheria,glomerata,T,C,3,2,2,7,NA,1,NA,83,555,529,5.123,NA,2.154,1
AXY1359,14,TRE,Vaccinium,floribundum,T,C,2,1,4,34,NA,5,NA,82,0.5,489,393,NA,2.069,5
APY5967,14,TRE,Paspalum,bonplandianum,T,C,1,2,5,7.1,8.5,2,NA,56,159,204,0.13,NA,25.069.999.999.999.900,2
CWO1363,14,TRE,Halenia,umbellata,T,C,4,2,3,8,NA,1,NA,43,308,291,0.24,NA,1.626,1
CSE4003,14,TRE,Halenia,umbellata,T,C,3,1,2,4.5,NA,1,NA,23,274,283,302,NA,1.145,1
CHL4896,14,TRE,Gaultheria,glomerata,T,C,3,1,5,12.5,NA,1,NA,115,454,456,425,NA,3.388,1
CWS7219,14,TRE,Halenia,umbellata,T,C,4,2,2,8,NA,1,NA,76,298,0.31,308,NA,2.356,1
AOW1278,14,TRE,Halenia,umbellata,T,C,4,2,5,8,NA,2,NA,77,311,325,346,NA,2.411,2
AXZ3575,14,TRE,Vaccinium,floribundum,T,C,2,1,5,34,NA,5,NA,87,529,584,491,NA,2.21,5
CMJ5657,14,TRE,Gaultheria,glomerata,T,C,2,2,1,11,NA,1,NA,85,451,394,482,NA,2.763,1
CVX1237,14,TRE,Halenia,umbellata,T,C,3,2,2,4.5,NA,2,NA,18,0.21,228,223,NA,0.79,2
CEA4386,14,TRE,Lachemilla,orbiculata,T,C,5,1,3,8.9,NA,2,NA,95,248,219,264,NA,3.516,2
COA5712,14,TRE,Paspalum,bonplandianum,T,C,4,1,1,11,NA,1,NA,57,235,207,0.16,missing length,4.778,1
CQH4403,14,TRE,Halenia,umbellata,T,C,3,1,3,4.5,NA,2,NA,23,235,204,159,NA,808,2
CMA7567,14,TRE,Paspalum,bonplandianum,T,C,5,1,5,8.5,14,1,NA,53,0.25,264,119,NA,3.806,1
CXI5589,14,TRE,Lachemilla,orbiculata,T,C,1,2,2,3.3,NA,1,NA,111,351,317,433,NA,1.965,1
CVY9887,14,TRE,Halenia,umbellata,T,C,3,1,4,4.5,NA,8,NA,27,382,264,288,NA,1.743,8
ANT1261,14,TRE,Rhynchospora,macrochaeta,T,C,1,1,2,40.5,46.1,3,NA,634,325,351,295,NA,22.794,3
CES5935,14,TRE,Paspalum,bonplandianum,T,C,1,1,3,5.7,8.6,1,NA,47,123,115,0.15,NA,2.932,1
CEO9105,14,TRE,Paspalum,bonplandianum,T,C,1,1,4,5.7,8.6,1,NA,73,447,162,263,NA,3.054,1
CMB6291,14,TRE,Gaultheria,glomerata,T,C,2,1,4,8,NA,1,NA,47,433,437,463,NA,1.399,1
CIJ0687,14,TRE,Gaultheria,glomerata,T,C,3,2,5,7,NA,1,NA,125,0.51,484,487,NA,3.295,1
CIK0884,14,TRE,Gaultheria,glomerata,T,C,3,1,1,12.5,NA,1,NA,0.15,501,477,485,NA,4.095,1
CHP4964,14,TRE,Rhynchospora,macrochaeta,T,C,1,2,3,NA,NA,1,NA,229,0.27,266,296,missing height and length,8.99,1
AQO2917,14,TRE,Rhynchospora,macrochaeta,T,C,1,2,2,26.6,33,1,NA,305,271,275,271,NA,10.395,1
CDT7728,14,TRE,Rhynchospora,macrochaeta,T,C,1,2,1,26.6,33,1,NA,263,259,265,305,NA,9.392,1
AOO6679,14,TRE,Paspalum,bonplandianum,T,C,2,2,1,6.5,7.3,2,NA,48,324,166,129,NA,3.477,2
CKT5177,14,TRE,Paspalum,bonplandianum,T,C,5,2,2,14.5,17,1,NA,79,127,144,207,NA,5.153,1
CNC6131,14,TRE,Vaccinium,floribundum,T,C,5,1,1,22.9,NA,5,NA,157,594,647,569,NA,3.45,5
CFO5860,14,TRE,Paspalum,bonplandianum,T,C,2,1,1,3.6,6.7,2,NA,62,291,204,127,NA,5.023,2
CFW3700,14,TRE,Paspalum,bonplandianum,T,C,2,1,3,3.6,6.7,2,NA,56,0.22,147,NA,NA,4.288,2
CXH7282,14,TRE,Carex,pichinchensis,T,BB,3,1,NA,22,24,3,NA,98,203,196,178,NA,4.48,3
CXQ0795,14,TRE,Lachemilla,orbiculata,T,C,1,2,1,3.3,NA,1,NA,31,244,231,239,NA,1.379,1
CVQ1316,14,TRE,Carex,pygmaea,T,BB,1,1,NA,6.4,7.6,3,NA,79,169,171,178,Leaf number missing,67.620.000.000.000.000,3
CQU2293,14,TRE,Lachemilla,vulcanica,T,BB,3,1,NA,1.7,NA,3,NA,NA,74,108,122,"Leaf number missing, wet mass missing",589,4
CQQ7498,14,TRE,Calamagrostis,tarmensis,T,BB,3,3,NA,53,57,1,NA,0.52,319,297,0.29,"missing leaf number, wet mass seems very high (maybe wrong)",1.457,1
CUZ4141,14,TRE,Lachemilla,vulcanica,T,BB,1,3,NA,1.3,NA,5,NA,57,139,0.16,125,Leaf number missing,22.520.000.000.000.000,8
CVU6041,14,TRE,Carex,pygmaea,T,BB,4,1,NA,5.5,6.5,2,NA,0.03,158,158,148,Leaf number missing,17.309.999.999.999.900,2
