country,course,project,id,year,month,date,gradient,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,number_leaves_scan,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_mm,area_flag,dry_flag,wet_flag
PE,Puna,T,AOV4140,2019,April,2019-04-10,1,TRE,C,1,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,3,4,3,3,0.065,0.010333333333333333,2.441266666666667,236.25161290322583,0.15897435897435896,0.19666666666666666,NA,NA,NA
PE,Puna,T,AOW3698,2019,April,2019-04-10,1,TRE,C,1,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium,clavatum,2,5,NA,1,NA,NA,NA,NA,NA,0.074,NA,NA,NA
PE,Puna,T,AOX4296,2019,April,2019-04-10,1,TRE,C,1,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium,clavatum,1,4,NA,1,NA,NA,NA,NA,NA,0.125,NA,NA,NA
PE,Puna,T,AOZ6557,2019,April,2019-04-10,1,TRE,C,1,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium,clavatum,5,10,NA,1,NA,NA,NA,NA,NA,0.093,NA,NA,NA
PE,Puna,T,APC5900,2019,April,2019-04-10,1,TRE,C,4,Forb,Rosaceae,Lachemilla jamesonii,Lachemilla,jamesonii,5,1,2,2,0.0215,0.0115,1.06535,92.639130434782615,0.5348837209302326,0.17233333333333334,NA,NA,NA
PE,Puna,T,APD8713,2019,April,2019-04-10,1,TRE,C,1,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,4,4,2,2,0.105,0.014,3.61125,257.94642857142856,0.13333333333333333,0.206,NA,NA,NA
PE,Puna,T,APE2661,2019,April,2019-04-10,1,TRE,C,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,1,11,NA,23,4.347826086956522e-4,3.913043478260869e-4,0.07059565217391305,180.41111111111113,0.8999999999999999,0.12466666666666666,NA,NA,NA
PE,Puna,T,APF5985,2019,April,2019-04-10,1,TRE,C,1,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,2,7,2,2,0.175,0.0225,3.93945,175.08666666666667,0.1285714285714286,0.233,NA,NA,NA
PE,Puna,T,APG1336,2019,April,2019-04-10,1,TRE,C,1,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,5,6,3,3,0.09999999999999999,0.014666666666666666,3.7307333333333332,254.36818181818182,0.14666666666666667,0.261,NA,NA,NA
PE,Puna,T,APH5356,2019,April,2019-04-10,1,TRE,C,1,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,1,5,2,2,0.154,0.0225,4.43525,197.12222222222223,0.1461038961038961,0.19033333333333333,NA,NA,NA
PE,Puna,T,APJ2540,2019,April,2019-04-10,1,TRE,C,4,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,4,2,4,4,0.02325,0.0075,1.12415,149.88666666666666,0.3225806451612903,0.164,NA,NA,NA
PE,Puna,T,APK1317,2019,April,2019-04-10,1,TRE,C,4,Forb,Rosaceae,Lachemilla jamesonii,Lachemilla,jamesonii,2,3,3,3,0.04633333333333334,0.018666666666666668,1.7989333333333333,96.37142857142857,0.4028776978417266,0.25066666666666665,NA,NA,NA
PE,Puna,T,APL3179,2019,April,2019-04-10,1,TRE,C,4,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,5,2,3,3,0.05633333333333334,0.014666666666666666,1.8423,125.61136363636365,0.26035502958579876,0.20333333333333334,NA,NA,NA
PE,Puna,T,APM6391,2019,April,2019-04-10,1,TRE,C,4,Forb,Rosaceae,Lachemilla jamesonii,Lachemilla,jamesonii,3,2,3,3,0.007666666666666666,0.007333333333333333,1.3311333333333333,181.5181818181818,0.9565217391304348,0.21266666666666667,NA,NA,NA
PE,Puna,T,APN7394,2019,April,2019-04-10,1,TRE,C,4,Forb,Rosaceae,Lachemilla jamesonii,Lachemilla,jamesonii,1,2,3,3,0.02766666666666667,0.013,1.1562666666666666,88.94358974358974,0.4698795180722891,0.214,NA,NA,NA
PE,Puna,T,APO6206,2019,April,2019-04-10,1,TRE,C,4,Forb,Rosaceae,Lachemilla jamesonii,Lachemilla,jamesonii,4,1,3,2,0.0115,0.006,0.92285,153.8083333333333,0.5217391304347826,0.21266666666666667,NA,NA,NA
PE,Puna,T,APQ6360,2019,April,2019-04-10,1,ACJ,C,4,Forb,Iridaceae,Sisyrinchium vaginatum,Sisyrinchium,vaginatum,1,29,2,2,0.0895,0.033,6.7657,205.0212121212121,0.36871508379888274,0.133,NA,NA,NA
PE,Puna,T,APR3410,2019,April,2019-04-10,1,TRE,C,4,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,1,3,2,2,0.051,0.013,1.71025,131.55769230769232,0.2549019607843137,0.156,NA,NA,NA
PE,Puna,T,APS0192,2019,April,2019-04-11,1,PIL,C,3,Forb,Rosaceae,Lachemilla jamesonii,Lachemilla,jamesonii,1,1.5,4,4,0.03125,0.014,1.189425,84.95892857142857,0.448,0.24833333333333335,NA,NA,NA
PE,Puna,T,APT6143,2019,April,2019-04-10,1,TRE,C,4,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,2,5,2,2,0.09,0.0185,2.81065,151.92702702702704,0.20555555555555555,0.20533333333333334,NA,NA,NA
PE,Puna,T,APU7059,2019,April,2019-04-11,1,PIL,C,3,Forb,Rosaceae,Lachemilla jamesonii,Lachemilla,jamesonii,2,3,3,3,0.038,0.015666666666666666,1.3922333333333334,88.86595744680852,0.41228070175438597,0.19833333333333333,NA,NA,NA
PE,Puna,T,APV6135,2019,April,2019-04-10,1,TRE,C,4,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,3,6,2,2,0.1215,0.025,4.5746,182.984,0.205761316872428,0.18533333333333332,NA,NA,NA
PE,Puna,T,APX3609,2019,April,2019-04-10,1,TRE,C,1,Gramminoid,Poaceae,Agrostis mertensii,Agrostis,mertensii,2,17,3,3,0.006666666666666667,0.004,0.4049,101.225,0.6,0.088,NA,NA,NA
PE,Puna,T,APY2114,2019,April,2019-04-10,1,TRE,C,1,Gramminoid,Poaceae,Agrostis trichodes,Agrostis,trichodes,3,8,5,5,0.0038,0.002,0.31198000000000004,155.99,0.5263157894736842,0.13,NA,NA,NA
PE,Puna,T,APZ8166,2019,April,2019-04-10,1,TRE,C,1,Gramminoid,Poaceae,Agrostis trichodes,Agrostis,trichodes,1,4,6,6,0.004,0.0014999999999999998,0.22863333333333333,152.42222222222225,0.37499999999999994,0.13966666666666666,NA,NA,NA
