year,season,month,site,treatment,plot_id,family,functional_group,taxon,cover,burn_year,elevation,latitude,longitude,course
2018,wet_season,March,ACJ,B,5,Lycopodiaceae,Fern,Lycopodium clavatum,7,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Poaceae,Graminoid,Agrostis mertensii,0.5,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Poaceae,Graminoid,Calamagrostis cf. amoena,1,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Poaceae,Graminoid,Calamagrostis tarmensis,65,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Poaceae,Graminoid,Festuca dolichophylla,0.5,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Rosaceae,Forb,Lachemilla cf. vulcanica,0.5,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Rubiaceae,Forb,Galium corymbosum,0.5,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,C,1,Asteraceae,Forb,Chaptalia cordata,0.5,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Asteraceae,Woody,Baccharis genistelloides,0.5,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Asteraceae,Woody,Baccharis tricuneata,0.5,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Cyperaceae,Graminoid,Carex pichinchensis,2,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Cyperaceae,Graminoid,Rhynchospora macrochaeta,1,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Dryopteridaceae,Fern,Elaphoglossum amphioxys,1,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Ericaceae,Woody,Gaultheria glomerata,3,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Ericaceae,Woody,Gaultheria vaccinioides,0.5,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Ericaceae,Woody,Pernettya prostrata,2,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Ericaceae,Woody,Vaccinium floribundum,3,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Gentianaceae,Forb,Halenia umbellata,7,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Hypericaceae,Woody,Hypericum andinum,0.5,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Lycopodiaceae,Fern,Lycopodium clavatum,4,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Melastomataceae,Woody,Miconia rotundifolia,0.5,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Poaceae,Graminoid,Agrostis mertensii,3,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Poaceae,Graminoid,Calamagrostis tarmensis,55,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Poaceae,Graminoid,Cortaderia hapalotricha,2,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Poaceae,Graminoid,Festuca dolichophylla,4,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Polypodiaceae,Fern,Melpomene moniliformis,0.5,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,1,Pteridaceae,Fern,Eriosorus cheilanthoides,2,NA,3487.4,-13.176034,-71.628828,PFTC3
2018,wet_season,March,ACJ,C,2,Asteraceae,Forb,Chaptalia cordata,0.5,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Asteraceae,Forb,Hieracium cf. mandonii,0.5,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Cyperaceae,Graminoid,Carex sp8,2,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Cyperaceae,Graminoid,Rhynchospora macrochaeta,0.5,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Dryopteridaceae,Fern,Elaphoglossum amphioxys,0.5,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Dryopteridaceae,Fern,Elaphoglossum huacsaro,1,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Ericaceae,Woody,Gaultheria glomerata,2,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Ericaceae,Woody,Vaccinium floribundum,0.5,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Melastomataceae,Woody,Miconia rotundifolia,0.5,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Orchidaceae,Forb,Pterichis sp1,0.5,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Poaceae,Graminoid,Agrostis mertensii,1,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Poaceae,Graminoid,Calamagrostis tarmensis,25,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Poaceae,Graminoid,Cortaderia bifida,80,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Polypodiaceae,Fern,Melpomene moniliformis,0.5,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,2,Pteridaceae,Fern,Eriosorus cheilanthoides,0.5,NA,3487.7,-13.1761,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Asteraceae,Forb,Chaptalia cordata,2,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Asteraceae,Forb,Hieracium cf. mandonii,0.5,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Asteraceae,Woody,Baccharis genistelloides,0.5,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Cyperaceae,Graminoid,Carex pichinchensis,2,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Cyperaceae,Graminoid,Rhynchospora macrochaeta,0.5,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Dryopteridaceae,Fern,Elaphoglossum amphioxys,0.5,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Dryopteridaceae,Fern,Elaphoglossum huacsaro,0.5,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Ericaceae,Woody,Gaultheria glomerata,2,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Hypericaceae,Woody,Hypericum andinum,3,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Lycopodiaceae,Fern,Lycopodium clavatum,3,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Poaceae,Graminoid,Agrostis mertensii,3,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Poaceae,Graminoid,Bromus lanatus,0.5,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Poaceae,Graminoid,Calamagrostis tarmensis,38,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Poaceae,Graminoid,Cortaderia bifida,3,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Polypodiaceae,Fern,Melpomene moniliformis,0.5,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Pteridaceae,Fern,Eriosorus cheilanthoides,2,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,3,Rubiaceae,Forb,Galium corymbosum,0.5,NA,3489,-13.176134,-71.628834,PFTC3
2018,wet_season,March,ACJ,C,4,Asteraceae,Forb,Chaptalia cordata,0.5,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Cyperaceae,Graminoid,Carex pichinchensis,0.5,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Dryopteridaceae,Fern,Elaphoglossum huacsaro,1,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Ericaceae,Woody,Gaultheria glomerata,2,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Ericaceae,Woody,Pernettya prostrata,5,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Ericaceae,Woody,Vaccinium floribundum,6,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Hypericaceae,Woody,Hypericum andinum,0.5,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Poaceae,Graminoid,Calamagrostis cf. amoena,25,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Poaceae,Graminoid,Calamagrostis tarmensis,10,NA,3490,-13.176195,-71.628844,PFTC3
